Reference, Value, Footprint, Datasheet
uC1,STM32F103CBT6,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,
P1,Battery Input,Pin_Headers:Pin_Header_Straight_1x02,
JP1,BOOT0,Pin_Headers:Pin_Header_Straight_1x03,
JP2,BOOT1,Pin_Headers:Pin_Header_Straight_1x03,
R6,10K,Resistors_SMD:R_0805_HandSoldering,
R5,10K,Resistors_SMD:R_0805_HandSoldering,
Q1,2N7002,TO_SOT_Packages_SMD:SOT-23,
R2,10K,Resistors_SMD:R_0805_HandSoldering,
R1,10K,Resistors_SMD:R_0805_HandSoldering,
Q2,Si2343CDS,TO_SOT_Packages_SMD:SOT-23,
C10,1nF,Capacitors_SMD:C_0805,
R20,R_I2C,Resistors_SMD:R_0805_HandSoldering,
R19,R_I2C,Resistors_SMD:R_0805_HandSoldering,
Y1,8MHz,NPFootprints:Seeedstudio-8MHzCrystal,
C2,22pF,Capacitors_SMD:C_0805,
C5,22pF,Capacitors_SMD:C_0805,
R3,910,Resistors_SMD:R_0805_HandSoldering,
Y2,32kHz,NPFootprints:Seeedstudio-32kHz_Crystal-FC135,
C9,4.7pF,Capacitors_SMD:C_0603,
C14,4.7pF,Capacitors_SMD:C_0603,
C1,100nF,Capacitors_SMD:C_0805,
C8,10uF,Capacitors_SMD:C_0805,
C3,100nF,Capacitors_SMD:C_0805,
C4,100nF,Capacitors_SMD:C_0805,
C7,100nF,Capacitors_SMD:C_0805,
C11,100nF,Capacitors_SMD:C_0805,
C13,1uF,Capacitors_SMD:C_0805,
C15,100nF,Capacitors_SMD:C_0805,
SW1,SW_PUSH,NPFootprints:Seeedstudio-Pushbutton-DHT-1152,
P2,SWD,NPFootprints:Tag-Connect_6P_Leads,
D1,LED,LEDs:LED_0805,
R8,68,Resistors_SMD:R_0603_HandSoldering,
D2,LED,LEDs:LED_0805,
R9,560,Resistors_SMD:R_0603_HandSoldering,
D3,LED,LEDs:LED_0805,
R12,150,Resistors_SMD:R_0603_HandSoldering,
D4,LED,LEDs:LED_0805,
R13,68,Resistors_SMD:R_0603_HandSoldering,
D5,LED,LEDs:LED_0805,
R14,68,Resistors_SMD:R_0603_HandSoldering,
D6,LED,LEDs:LED_0805,
R15,68,Resistors_SMD:R_0603_HandSoldering,
R16,68,Resistors_SMD:R_0603_HandSoldering,
R10,R,Resistors_SMD:R_0603_HandSoldering,
R11,R,Resistors_SMD:R_0603_HandSoldering,
P3,Raspberry Pi A+ Connectors,NPFootprints:Raspberry_Pi_A+,
U2,Seeedstudio_Buck_5v,NPFootprints:Seeedstudio_5V_Buck,
D8,LED,LEDs:LED_0805,
R17,560,Resistors_SMD:R_0603_HandSoldering,
P4,Harwin-10P,NPFootprints:Conn-Harwin-10p,
P5,Harwin-10P,NPFootprints:Conn-Harwin-10p,
P6,Harwin-10P,NPFootprints:Conn-Harwin-10p,
D9,LED,LEDs:LED_0805,
R18,68,Resistors_SMD:R_0603_HandSoldering,
D7,LED,LEDs:LED_0805,
R4,390,Resistors_SMD:R_0805_HandSoldering,
U1,LM317,TO_SOT_Packages_SMD:SOT-223,
R7,240,Resistors_SMD:R_0805_HandSoldering,
C12,1uF,Capacitors_SMD:C_0805,
C6,1uF,Capacitors_SMD:C_0805,
